funcionario,estresse_antes_mindfulness,estresse_depois_mindfulness,bem_estar_antes_mindfulness,bem_estar_depois_mindfulness
Funcionario_01,36.67,28.13,25.86,28.36
Funcionario_02,18.82,16.44,64.66,61.84
Funcionario_03,28.71,27.19,51.53,59.22
Funcionario_04,26.27,21.54,43.68,62.71
Funcionario_05,28.87,35.92,66.24,72.07
Funcionario_06,30.29,34.67,57.76,57.77
Funcionario_07,34.85,31.49,33.18,41.67
Funcionario_08,30.82,32.63,51.14,70.86
Funcionario_09,26.67,24.35,61.47,71.69
Funcionario_10,26.09,22.60,57.59,70.74
Funcionario_11,22.30,22.27,58.65,71.35
Funcionario_12,22.06,17.91,45.47,60.74
Funcionario_13,30.36,23.14,68.74,76.69
Funcionario_14,25.90,18.63,63.02,74.95
Funcionario_15,30.58,27.17,47.60,65.87
Funcionario_16,34.91,28.78,42.64,54.88
Funcionario_17,23.27,20.16,76.05,92.14
Funcionario_18,24.48,16.46,57.58,70.08
Funcionario_19,24.42,19.04,55.85,46.49
Funcionario_20,25.53,20.05,72.92,76.28
Funcionario_21,37.00,27.34,49.94,72.72
Funcionario_22,20.01,13.82,57.62,68.03
Funcionario_23,35.45,30.76,54.66,67.85
Funcionario_24,28.00,28.44,47.29,43.25
Funcionario_25,21.60,14.96,52.72,58.28
Funcionario_26,21.44,17.83,69.69,82.98
Funcionario_27,22.57,5.69,63.55,64.50
Funcionario_28,14.53,14.30,78.39,83.04
Funcionario_29,32.54,26.17,50.49,53.92
Funcionario_30,29.89,24.67,66.49,69.60
Funcionario_31,18.72,15.61,72.83,86.13
Funcionario_32,29.81,25.73,40.89,55.38
Funcionario_33,27.10,27.61,59.28,56.32
Funcionario_34,27.61,20.87,62.87,51.72
Funcionario_35,16.67,10.85,75.04,72.69
Funcionario_36,29.15,29.90,48.28,48.54
Funcionario_37,30.44,28.82,74.86,94.83
Funcionario_38,29.89,24.80,42.13,56.50
Funcionario_39,37.40,39.14,36.07,51.64
Funcionario_40,20.31,17.75,51.11,58.15
Funcionario_41,27.68,18.52,45.85,55.30
Funcionario_42,32.97,25.71,69.31,73.03
Funcionario_43,18.53,4.81,79.55,92.76
Funcionario_44,11.14,7.10,80.99,70.94
Funcionario_45,30.54,27.58,47.40,48.07
Funcionario_46,29.83,27.88,51.04,58.26
Funcionario_47,29.63,33.25,34.70,42.19
Funcionario_48,14.65,13.75,78.26,89.92
Funcionario_49,33.92,20.96,42.48,59.48
Funcionario_50,29.59,18.13,58.62,68.20
Funcionario_51,26.53,18.14,62.28,65.24
Funcionario_52,23.70,18.34,54.14,64.15
Funcionario_53,20.83,14.11,76.60,85.07
Funcionario_54,36.36,24.37,41.56,55.79
Funcionario_55,34.73,31.68,58.80,58.07
Funcionario_56,25.89,21.54,18.73,16.24
Funcionario_57,29.56,26.40,49.64,65.92
Funcionario_58,20.97,21.31,60.79,57.69
Funcionario_59,33.00,24.33,60.14,56.80
Funcionario_60,34.55,31.79,49.60,58.02
Funcionario_61,29.23,30.16,23.18,30.92
Funcionario_62,27.92,29.58,54.86,55.54
Funcionario_63,24.12,15.31,67.14,68.05
Funcionario_64,34.74,29.52,36.00,35.55
Funcionario_65,24.86,20.80,60.64,67.54
Funcionario_66,26.21,31.70,58.91,69.17
Funcionario_67,19.42,12.19,68.21,69.16
Funcionario_68,33.82,27.77,52.90,49.66
Funcionario_69,19.79,16.73,74.74,82.43
Funcionario_70,28.25,19.51,49.18,68.74
