bloco,irrigacao,biofertilizante,tratamento,produtividade_sacas_ha
Bloco_001,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,57.59
Bloco_001,reduzida,com_biofertilizante,reduzida_com_biofertilizante,65.02
Bloco_001,adequada,sem_biofertilizante,adequada_sem_biofertilizante,66.26
Bloco_001,adequada,com_biofertilizante,adequada_com_biofertilizante,70.77
Bloco_002,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,44.32
Bloco_002,reduzida,com_biofertilizante,reduzida_com_biofertilizante,42.57
Bloco_002,adequada,sem_biofertilizante,adequada_sem_biofertilizante,54.72
Bloco_002,adequada,com_biofertilizante,adequada_com_biofertilizante,65.69
Bloco_003,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,59.11
Bloco_003,reduzida,com_biofertilizante,reduzida_com_biofertilizante,60.49
Bloco_003,adequada,sem_biofertilizante,adequada_sem_biofertilizante,69.28
Bloco_003,adequada,com_biofertilizante,adequada_com_biofertilizante,75.33
Bloco_004,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,36.88
Bloco_004,reduzida,com_biofertilizante,reduzida_com_biofertilizante,51.03
Bloco_004,adequada,sem_biofertilizante,adequada_sem_biofertilizante,48.29
Bloco_004,adequada,com_biofertilizante,adequada_com_biofertilizante,70.19
Bloco_005,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,63.7
Bloco_005,reduzida,com_biofertilizante,reduzida_com_biofertilizante,72.65
Bloco_005,adequada,sem_biofertilizante,adequada_sem_biofertilizante,78.05
Bloco_005,adequada,com_biofertilizante,adequada_com_biofertilizante,83.61
Bloco_006,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,52.31
Bloco_006,reduzida,com_biofertilizante,reduzida_com_biofertilizante,57.89
Bloco_006,adequada,sem_biofertilizante,adequada_sem_biofertilizante,62.07
Bloco_006,adequada,com_biofertilizante,adequada_com_biofertilizante,78.48
Bloco_007,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,57.07
Bloco_007,reduzida,com_biofertilizante,reduzida_com_biofertilizante,60.72
Bloco_007,adequada,sem_biofertilizante,adequada_sem_biofertilizante,65.05
Bloco_007,adequada,com_biofertilizante,adequada_com_biofertilizante,80.2
Bloco_008,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,48.75
Bloco_008,reduzida,com_biofertilizante,reduzida_com_biofertilizante,53.31
Bloco_008,adequada,sem_biofertilizante,adequada_sem_biofertilizante,54.77
Bloco_008,adequada,com_biofertilizante,adequada_com_biofertilizante,65.0
Bloco_009,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,54.78
Bloco_009,reduzida,com_biofertilizante,reduzida_com_biofertilizante,56.6
Bloco_009,adequada,sem_biofertilizante,adequada_sem_biofertilizante,59.8
Bloco_009,adequada,com_biofertilizante,adequada_com_biofertilizante,70.25
Bloco_010,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,43.13
Bloco_010,reduzida,com_biofertilizante,reduzida_com_biofertilizante,48.55
Bloco_010,adequada,sem_biofertilizante,adequada_sem_biofertilizante,59.25
Bloco_010,adequada,com_biofertilizante,adequada_com_biofertilizante,72.32
Bloco_011,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,45.19
Bloco_011,reduzida,com_biofertilizante,reduzida_com_biofertilizante,49.71
Bloco_011,adequada,sem_biofertilizante,adequada_sem_biofertilizante,57.83
Bloco_011,adequada,com_biofertilizante,adequada_com_biofertilizante,66.72
Bloco_012,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,46.81
Bloco_012,reduzida,com_biofertilizante,reduzida_com_biofertilizante,58.86
Bloco_012,adequada,sem_biofertilizante,adequada_sem_biofertilizante,55.02
Bloco_012,adequada,com_biofertilizante,adequada_com_biofertilizante,64.99
Bloco_013,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,51.31
Bloco_013,reduzida,com_biofertilizante,reduzida_com_biofertilizante,56.01
Bloco_013,adequada,sem_biofertilizante,adequada_sem_biofertilizante,61.08
Bloco_013,adequada,com_biofertilizante,adequada_com_biofertilizante,68.31
Bloco_014,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,53.61
Bloco_014,reduzida,com_biofertilizante,reduzida_com_biofertilizante,62.53
Bloco_014,adequada,sem_biofertilizante,adequada_sem_biofertilizante,61.77
Bloco_014,adequada,com_biofertilizante,adequada_com_biofertilizante,77.19
Bloco_015,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,62.64
Bloco_015,reduzida,com_biofertilizante,reduzida_com_biofertilizante,64.19
Bloco_015,adequada,sem_biofertilizante,adequada_sem_biofertilizante,66.26
Bloco_015,adequada,com_biofertilizante,adequada_com_biofertilizante,76.03
Bloco_016,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,43.59
Bloco_016,reduzida,com_biofertilizante,reduzida_com_biofertilizante,50.05
Bloco_016,adequada,sem_biofertilizante,adequada_sem_biofertilizante,55.45
Bloco_016,adequada,com_biofertilizante,adequada_com_biofertilizante,64.87
Bloco_017,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,61.45
Bloco_017,reduzida,com_biofertilizante,reduzida_com_biofertilizante,68.48
Bloco_017,adequada,sem_biofertilizante,adequada_sem_biofertilizante,62.5
Bloco_017,adequada,com_biofertilizante,adequada_com_biofertilizante,78.55
Bloco_018,reduzida,sem_biofertilizante,reduzida_sem_biofertilizante,53.74
